Micros,AcX, AcY, AcZ, GyX, GyY, GyZ
3069675,0,0,0,0,0,0
3071991,0,0,0,0,0,0
3074181,0,0,0,0,0,0
3076372,17120,1048,-516,-2098,2147,2345
3083132,17148,1024,-696,-3630,5218,10081
3126884,17208,1104,-732,-239,303,-97
3166466,17192,1060,-496,-247,303,-89
3206048,17168,1064,-548,-228,305,-100
3246718,17108,1140,-492,-241,308,-95
3286253,17216,1092,-540,-251,296,-78
3325835,17132,1128,-540,-248,295,-93
3365417,17232,988,-568,-274,310,-105
3405006,17088,1128,-584,-242,291,-94
3444580,17204,1064,-592,-248,279,-77
3484165,17004,1104,-600,-256,314,-80
3523744,17064,1064,-408,-271,275,-86
3563332,17228,1096,-636,-249,310,-107
3603949,17148,1072,-636,-247,319,-83
3643530,17160,1032,-560,-241,291,-97
3683112,17212,1148,-524,-255,294,-92
3722694,17140,992,-484,-285,301,-91
3761234,17168,1160,-452,-247,305,-98
3800819,17000,1040,-568,-242,295,-107
3841439,17112,1072,-596,-236,274,-90
3881021,17124,1160,-732,-254,288,-82
3920603,17128,1164,-588,-245,295,-78
3960185,17200,1068,-532,-255,294,-98
3999766,17196,1108,-580,-250,291,-109
4040390,17020,1080,-740,-229,294,-85
4079978,17164,1076,-568,-229,305,-82
4119553,17144,1140,-508,-247,304,-86
4159135,17144,1156,-500,-274,303,-80
4198717,17044,1108,-664,-244,293,-88
4238305,17160,1028,-572,-248,290,-100
4278922,17140,1084,-580,-294,321,-97
4318503,17048,1144,-516,-256,318,-92
4358085,17164,1184,-572,-254,297,-90
4397667,17060,1024,-528,-247,294,-87
4437249,17112,1120,-700,-245,303,-102
4477872,17216,1128,-580,-253,303,-84
4517454,17164,1164,-524,-250,290,-105
4558077,17088,1092,-484,-240,278,-96
4597659,17196,1108,-516,-238,303,-102
4638289,17160,1120,-600,-265,306,-93
4677864,17132,1080,-604,-227,306,-100
4718488,17216,1080,-584,-244,307,-111
4759111,17064,1116,-616,-237,309,-105
4799734,17080,1160,-580,-260,301,-96
4839316,17284,1200,-484,-256,295,-74
4878898,17068,1064,-612,-252,303,-88
4918480,17088,1172,-596,-225,305,-97
4958061,17088,1148,-568,-244,295,-87
4997643,17060,1192,-528,-250,309,-98
5037225,17116,1088,-528,-256,303,-97
5076807,17080,1156,-604,-258,326,-104
5117430,17188,1128,-540,-255,296,-108
5158053,17156,1136,-576,-257,293,-113
5198677,17184,1072,-524,-268,313,-115
5239300,17112,980,-552,-251,354,-114
5278882,17108,1236,-660,-234,281,-95
5318464,17076,1172,-676,-258,304,-108
5359087,17068,1092,-612,-244,312,-99
5398669,17156,1092,-740,-260,286,-89
5438257,17156,1040,-592,-270,310,-89
5477832,17176,1076,-544,-241,304,-98
5517414,17068,1020,-636,-241,289,-79
5556995,17124,1116,-472,-229,299,-95
5596612,17108,1152,-576,-232,300,-103
5637201,17096,1084,-524,-250,284,-105
5677824,17180,1192,-540,-244,311,-106
5718448,17128,1128,-580,-256,292,-86
5758029,17192,1080,-600,-262,304,-99
5797611,17220,1140,-700,-238,311,-94
5837193,17048,1044,-396,-267,300,-96
5876774,17180,1124,-536,-249,310,-106
5917398,17124,1028,-512,-238,295,-89
5956980,17168,1024,-584,-248,304,-102
5997603,17172,1096,-680,-242,304,-118
6038233,17116,1056,-504,-241,306,-107
6078850,17084,1140,-624,-231,284,-107
6119473,17148,1120,-640,-263,298,-91
6159055,17116,1112,-500,-243,289,-79
6198637,17128,1120,-604,-238,308,-78
6238225,17168,1108,-500,-249,300,-79
6277800,17072,1092,-700,-255,306,-75
6317382,17120,1108,-768,-246,298,-104
6358005,17052,1132,-508,-250,300,-93
6397587,17108,1064,-456,-238,288,-98
6437169,17236,1052,-564,-268,302,-85
6476750,17092,1048,-496,-254,292,-107
6517374,17032,1096,-544,-249,288,-102
6557997,17160,1060,-524,-243,297,-82
6597579,17108,1120,-496,-234,310,-90
6637161,17132,1124,-616,-261,287,-102
6677784,17204,1084,-624,-247,301,-83
6717366,17060,1020,-568,-257,302,-77
6756948,17176,1036,-700,-259,300,-88
6796550,17212,1104,-572,-245,314,-95
6836111,17136,1128,-660,-247,300,-87
6875693,17160,1144,-644,-239,298,-117
6916316,17060,1036,-516,-249,274,-85
6955898,17220,1080,-616,-248,296,-95
6995480,17240,1020,-632,-248,302,-108
7036103,17128,1156,-604,-254,292,-79
